ST_CASE,MONTH,DAY,HOUR
10001,1,1,12
10002,1,1,16
10003,1,1,1
10004,1,2,14
10005,1,2,18
10006,1,2,18
10007,1,4,9
10008,1,4,14
10009,1,4,11
10010,1,5,0
10011,1,5,11
10012,1,5,20
10013,1,6,17
10014,1,7,6
10015,1,7,16
10016,1,8,20
10017,1,8,21
10018,1,9,12
10019,1,9,0
10020,1,9,19
10021,1,10,13
10022,1,11,15
10023,1,13,19
10024,1,15,20
10025,1,15,23
10026,1,16,23
10027,3,6,14
10028,1,17,23
10029,1,17,8
10030,1,17,6
10031,1,17,17
10032,1,23,14
10033,1,22,18
10034,1,22,6
10035,1,21,7
10036,1,21,19
10037,1,18,10
10038,1,18,7
10039,1,18,7
10040,1,18,4
10041,1,19,7
10042,1,19,17
10043,1,23,15
10044,1,24,19
10045,1,24,20
10046,1,25,15
10047,1,26,12
10048,1,27,6
10049,1,27,16
10050,1,30,21
10051,1,30,9
10052,1,30,5
10053,1,30,15
10054,1,30,14
10055,1,31,5
10056,2,1,19
10057,2,3,15
10058,2,3,14
10059,2,3,21
10060,2,4,11
10061,2,4,4
10062,2,5,4
10063,2,5,23
10064,2,6,18
10065,2,9,2
10066,2,10,20
10067,2,10,10
10068,2,10,18
10069,2,11,11
10070,2,11,23
10071,2,11,13
10072,2,11,15
10073,2,11,16
10074,2,11,15
10075,2,11,21
10076,2,12,1
10077,2,12,18
10078,2,13,3
10079,2,13,99
10080,2,14,7
10081,2,14,13
10082,2,14,17
10083,2,16,19
10084,2,16,17
10085,2,16,14
10086,2,15,20
10087,2,15,6
10088,2,15,14
10089,2,16,10
10090,2,17,13
10091,2,17,18
10092,2,18,6
10093,2,18,10
10094,2,18,10
10095,2,19,21
10096,2,20,6
10097,2,20,17
10098,2,21,9
10099,2,21,10
10100,2,21,16
10101,2,21,20
10102,2,22,5
10103,2,23,22
10104,2,24,0
10105,2,24,8
10106,2,24,14
10107,2,24,18
10108,2,24,19
10109,2,24,20
10110,2,25,21
10111,2,25,23
10112,2,25,22
10113,2,26,1
10114,2,26,6
10115,2,26,19
10116,2,26,0
10117,2,27,1
10118,2,27,5
10119,3,1,8
10120,3,2,4
10121,3,3,2
10122,3,3,18
10123,3,3,20
10124,3,3,7
10125,3,3,20
10126,3,4,15
10127,3,4,14
10128,3,5,7
10129,3,5,4
10130,3,7,6
10131,3,8,5
10132,3,9,9
10133,3,10,22
10134,3,10,21
10135,3,7,15
10136,3,11,2
10137,3,11,2
10138,3,11,11
10139,3,12,5
10140,3,12,22
10141,3,13,1
10142,3,13,16
10143,3,13,15
10144,3,13,23
10145,3,14,14
10146,3,15,2
10147,3,15,18
10148,3,15,1
10149,3,16,11
10150,3,16,18
10151,3,16,18
10152,3,17,3
10153,3,17,11
10154,3,18,6
10155,3,19,18
10156,3,20,0
10157,3,21,14
10158,3,21,5
10159,3,22,16
10160,3,19,12
10161,4,23,17
10162,5,11,7
10163,4,6,12
10164,2,26,1
10165,3,22,12
10166,3,24,6
10167,3,25,21
10168,3,25,20
10169,3,26,17
10170,3,26,9
10171,3,26,17
10172,3,27,7
10173,3,28,16
10174,3,28,9
10175,3,29,22
10176,3,29,16
10177,3,30,9
10178,3,30,14
10179,3,31,5
10180,4,1,6
10181,4,1,10
10182,4,1,9
10183,4,1,1
10184,4,3,3
10185,4,2,22
10186,4,2,16
10187,4,2,22
10188,4,3,19
10189,4,1,3
10190,4,3,21
10191,4,4,22
10192,4,4,4
10193,4,4,18
10194,4,4,15
10195,4,5,6
10196,4,5,9
10197,4,5,19
10198,4,8,16
10199,4,8,23
10200,4,8,17
10201,4,9,2
10202,4,10,3
10203,4,10,9
10204,4,10,17
10205,4,10,18
10206,4,11,18
10207,4,11,11
10208,4,12,8
10209,4,13,21
10210,4,13,7
10211,4,13,16
10212,4,14,17
10213,4,15,11
10214,4,16,2
10215,4,16,15
10216,4,16,17
10217,4,17,4
10218,4,17,21
10219,4,17,0
10220,4,17,13
10221,4,18,18
10222,4,19,18
10223,4,20,5
10224,4,20,23
10225,4,20,5
10226,4,20,7
10227,4,21,20
10228,4,21,13
10229,4,21,5
10230,4,22,9
10231,4,22,9
10232,4,24,22
10233,4,24,5
10234,4,24,11
10235,4,24,13
10236,4,25,0
10237,4,25,2
10238,4,26,12
10239,4,26,14
10240,4,26,14
10241,4,28,6
10242,4,29,21
10243,4,29,2
10244,4,29,5
10245,4,29,17
10246,4,30,16
10247,4,30,20
10248,4,30,12
10249,4,30,18
10250,4,30,2
10251,5,1,20
10252,5,1,13
10253,5,2,18
10254,5,3,12
10255,4,28,9
10256,5,3,3
10257,5,3,3
10258,5,3,13
10259,5,4,12
10260,5,4,10
10261,5,5,19
10262,5,5,12
10263,5,5,0
10264,5,5,21
10265,5,7,20
10266,5,7,3
10267,5,7,11
10268,5,7,14
10269,5,8,23
10270,5,8,12
10271,5,9,16
10272,7,5,23
10273,4,30,4
10274,5,7,20
10275,5,8,21
10276,5,9,13
10277,5,10,22
10278,5,10,7
10279,5,11,17
10280,5,14,3
10282,5,11,2
10283,5,12,17
10284,5,12,18
10285,5,13,1
10286,5,13,17
10287,5,14,0
10288,5,14,14
10289,5,14,8
10290,5,14,13
10291,5,14,20
10292,5,15,19
10293,5,15,13
10294,5,15,21
10295,5,16,22
10296,5,16,8
10297,5,16,15
10298,5,16,12
10299,5,16,0
10300,5,16,5
10301,5,16,18
10302,5,16,20
10303,5,17,1
10304,5,18,16
10305,5,18,23
10306,5,18,10
10307,5,18,12
10308,5,19,20
10309,5,20,13
10310,5,20,13
10311,5,20,15
10312,5,20,21
10313,5,20,16
10314,5,20,23
10315,5,20,20
10316,5,20,6
10317,5,21,15
10318,5,21,20
10319,5,21,22
10320,5,22,18
10321,5,19,12
10322,5,23,14
10323,5,23,16
10324,5,22,18
10325,5,23,5
10326,5,23,8
10327,3,15,13
10328,4,5,22
10329,3,13,18
10330,2,8,16
10331,5,23,0
10332,5,24,6
10333,2,6,2
10334,5,24,16
10335,5,25,20
10336,5,25,1
10337,5,25,17
10338,5,26,99
10339,5,26,23
10340,5,26,7
10341,5,26,14
10342,5,27,20
10343,5,27,6
10344,5,28,23
10345,5,28,14
10346,5,28,8
10347,5,28,3
10348,5,28,12
10349,5,29,14
10350,5,29,17
10351,5,30,3
10352,5,30,22
10353,5,30,1
10354,5,30,14
10355,5,30,17
10356,5,31,18
10357,6,1,19
10358,6,2,3
10359,6,1,7
10360,6,3,21
10361,6,3,21
10362,6,4,14
10363,6,4,15
10364,6,4,14
10365,6,4,22
10366,6,5,4
10367,6,6,21
10368,6,6,15
10369,6,6,13
10370,6,6,10
10371,6,6,17
10372,6,7,20
10373,6,8,11
10374,6,8,16
10375,6,9,14
10376,6,9,21
10377,6,9,16
10378,6,10,0
10379,6,10,17
10380,6,10,21
10381,6,11,6
10382,6,11,3
10383,6,12,13
10384,6,12,20
10385,6,13,17
10386,6,14,15
10387,6,14,20
10388,6,15,6
10389,6,15,22
10390,6,15,3
10391,6,15,9
10392,6,16,6
10393,6,18,23
10394,6,18,1
10395,6,18,2
10396,6,18,16
10397,6,19,3
10398,6,19,1
10399,6,20,15
10400,6,20,4
10401,6,20,15
10402,6,22,16
10403,6,23,14
10404,6,23,16
10405,6,24,7
10406,6,24,8
10407,6,25,20
10408,6,25,15
